id,Fascia,Sponda,Lon,Lat
234,100-300,Sinistra,885529.111,4760098.141
235,100-300,Sinistra,885529.111,4759298.141
236,50-100,Sinistra,885529.111,4758498.141
237,50-100,Sinistra,885529.111,4757698.141
238,100-300,Sinistra,885529.111,4756898.141
239,50-100,Sinistra,885529.111,4756098.141
240,0-50,Sinistra,885529.111,4755298.141
241,100-300,Sinistra,886329.111,4760098.141
242,100-300,Sinistra,886329.111,4759298.141
243,100-300,Sinistra,886329.111,4758498.141
244,100-300,Sinistra,886329.111,4757698.141
245,50-100,Sinistra,886329.111,4756898.141
246,50-100,Sinistra,886329.111,4756098.141
247,0-50,Destra,886329.111,4755298.141
248,100-300,Sinistra,887129.111,4760098.141
249,100-300,Sinistra,887129.111,4759298.141
250,100-300,Sinistra,887129.111,4758498.141
251,50-100,Sinistra,887129.111,4757698.141
252,50-100,Sinistra,887129.111,4756898.141
253,0-50,Sinistra,887129.111,4756098.141
254,0-50,Destra,887129.111,4755298.141
255,100-300,Sinistra,887929.111,4760098.141
256,100-300,Sinistra,887929.111,4759298.141
257,50-100,Sinistra,887929.111,4758498.141
258,50-100,Sinistra,887929.111,4757698.141
259,50-100,Sinistra,887929.111,4756898.141
260,0-50,Sinistra,887929.111,4756098.141
261,50-100,Destra,887929.111,4755298.141
262,100-300,Sinistra,888729.111,4760098.141
263,100-300,Sinistra,888729.111,4759298.141
264,100-300,Sinistra,888729.111,4758498.141
265,50-100,Sinistra,888729.111,4757698.141
266,0-50,Sinistra,888729.111,4756898.141
267,0-50,Destra,888729.111,4756098.141
268,100-300,Destra,888729.111,4755298.141
269,100-300,Sinistra,889529.111,4760098.141
270,100-300,Sinistra,889529.111,4759298.141
271,50-100,Sinistra,889529.111,4758498.141
272,0-50,Sinistra,889529.111,4757698.141
273,0-50,Sinistra,889529.111,4756898.141
274,0-50,Sinistra,889529.111,4756098.141
275,50-100,Destra,889529.111,4755298.141
276,50-100,Sinistra,890329.111,4760098.141
277,100-300,Sinistra,890329.111,4759298.141
278,0-50,Sinistra,890329.111,4758498.141
279,0-50,Sinistra,890329.111,4757698.141
280,0-50,Sinistra,890329.111,4756898.141
281,0-50,Destra,890329.111,4756098.141
282,50-100,Destra,890329.111,4755298.141
283,100-300,Sinistra,891129.111,4760098.141
284,50-100,Sinistra,891129.111,4759298.141
285,0-50,Sinistra,891129.111,4758498.141
286,0-50,Sinistra,891129.111,4757698.141
287,0-50,Sinistra,891129.111,4756898.141
288,50-100,Destra,891129.111,4756098.141
289,100-300,Destra,891129.111,4755298.141
290,100-300,Sinistra,891929.111,4760098.141
291,50-100,Sinistra,891929.111,4759298.141
292,0-50,Sinistra,891929.111,4758498.141
293,0-50,Sinistra,891929.111,4757698.141
294,0-50,Destra,891929.111,4756898.141
295,100-300,Destra,891929.111,4756098.141
296,100-300,Destra,891929.111,4755298.141
297,0-50,Sinistra,892729.111,4760098.141
298,0-50,Sinistra,892729.111,4759298.141
299,0-50,Sinistra,892729.111,4758498.141
300,0-50,Sinistra,892729.111,4757698.141
301,0-50,Destra,892729.111,4756898.141
302,100-300,Destra,892729.111,4756098.141
303,50-100,Sinistra,893529.111,4760098.141
304,0-50,Sinistra,893529.111,4759298.141
305,0-50,Sinistra,893529.111,4758498.141
306,0-50,Destra,893529.111,4757698.141
307,100-300,Destra,893529.111,4756898.141
308,100-300,Destra,893529.111,4756098.141
309,0-50,Sinistra,894329.111,4760098.141
310,0-50,Sinistra,894329.111,4759298.141
311,0-50,Destra,894329.111,4758498.141
312,0-50,Destra,894329.111,4757698.141
313,0-50,Sinistra,895129.111,4760098.141
314,0-50,Sinistra,895129.111,4759298.141
315,0-50,Destra,895129.111,4758498.141
316,100-300,Destra,895129.111,4757698.141
317,0-50,Sinistra,895929.111,4760098.141
318,0-50,Destra,895929.111,4759298.141
319,50-100,Destra,895929.111,4758498.141
320,100-300,Destra,895929.111,4757698.141
321,0-50,Sinistra,896729.111,4760098.141
322,0-50,Destra,896729.111,4759298.141
323,100-300,Destra,896729.111,4758498.141
324,100-300,Destra,896729.111,4757698.141
325,0-50,Sinistra,897529.111,4760098.141
326,50-100,Destra,897529.111,4759298.141
327,100-300,Destra,897529.111,4758498.141
328,0-50,Destra,898329.111,4760098.141
329,100-300,Destra,898329.111,4759298.141
330,0-50,Destra,899129.111,4760098.141
331,100-300,Destra,899129.111,4759298.141
332,50-100,Destra,899929.111,4760098.141
333,50-100,Destra,899929.111,4759298.141
334,0-50,Destra,900729.111,4760098.141
335,0-50,Destra,900729.111,4759298.141
336,0-50,Destra,901529.111,4760098.141
337,0-50,Destra,901529.111,4759298.141
338,100-300,Sinistra,885529.111,4762498.141
339,100-300,Sinistra,885529.111,4761698.141
340,100-300,Sinistra,885529.111,4760898.141
341,100-300,Sinistra,886329.111,4762498.141
342,100-300,Sinistra,886329.111,4761698.141
343,100-300,Sinistra,886329.111,4760898.141
344,100-300,Sinistra,887129.111,4762498.141
345,100-300,Sinistra,887129.111,4761698.141
346,100-300,Sinistra,887129.111,4760898.141
347,100-300,Sinistra,887929.111,4762498.141
348,100-300,Sinistra,887929.111,4761698.141
349,100-300,Sinistra,887929.111,4760898.141
350,50-100,Sinistra,888729.111,4762498.141
351,50-100,Sinistra,888729.111,4761698.141
352,100-300,Sinistra,888729.111,4760898.141
353,100-300,Sinistra,889529.111,4762498.141
354,100-300,Sinistra,889529.111,4761698.141
355,50-100,Sinistra,889529.111,4760898.141
356,100-300,Sinistra,890329.111,4762498.141
357,100-300,Sinistra,890329.111,4761698.141
358,50-100,Sinistra,890329.111,4760898.141
359,50-100,Sinistra,891129.111,4762498.141
360,100-300,Sinistra,891129.111,4761698.141
361,100-300,Sinistra,891129.111,4760898.141
362,100-300,Sinistra,891929.111,4762498.141
363,50-100,Sinistra,891929.111,4761698.141
364,0-50,Sinistra,891929.111,4760898.141
365,50-100,Sinistra,892729.111,4762498.141
366,100-300,Sinistra,892729.111,4761698.141
367,100-300,Sinistra,892729.111,4760898.141
368,100-300,Sinistra,893529.111,4762498.141
369,100-300,Sinistra,893529.111,4761698.141
370,100-300,Sinistra,893529.111,4760898.141
371,100-300,Sinistra,894329.111,4762498.141
372,50-100,Sinistra,894329.111,4761698.141
373,0-50,Sinistra,894329.111,4760898.141
374,100-300,Sinistra,895129.111,4762498.141
375,50-100,Sinistra,895129.111,4761698.141
376,0-50,Sinistra,895129.111,4760898.141
377,50-100,Sinistra,895929.111,4762498.141
378,50-100,Sinistra,895929.111,4761698.141
379,0-50,Sinistra,895929.111,4760898.141
380,50-100,Sinistra,896729.111,4762498.141
381,0-50,Sinistra,896729.111,4761698.141
382,0-50,Sinistra,896729.111,4760898.141
383,50-100,Sinistra,897529.111,4762498.141
384,0-50,Sinistra,897529.111,4761698.141
385,0-50,Sinistra,897529.111,4760898.141
386,0-50,Sinistra,898329.111,4762498.141
387,0-50,Sinistra,898329.111,4761698.141
388,0-50,Sinistra,898329.111,4760898.141
389,0-50,Sinistra,899129.111,4762498.141
390,0-50,Sinistra,899129.111,4761698.141
391,0-50,Sinistra,899129.111,4760898.141
392,0-50,Sinistra,899929.111,4761698.141
393,0-50,Sinistra,899929.111,4760898.141
394,0-50,Sinistra,900729.111,4761698.141
395,0-50,Sinistra,900729.111,4760898.141
396,100-300,Sinistra,864729.111,4748098.141
397,100-300,Sinistra,866329.111,4754498.141
398,100-300,Sinistra,866329.111,4748898.141
399,100-300,Sinistra,867129.111,4752898.141
400,100-300,Sinistra,867129.111,4752098.141
401,100-300,Sinistra,867129.111,4749698.141
402,100-300,Destra,867129.111,4748898.141
403,100-300,Sinistra,867929.111,4751298.141
404,100-300,Sinistra,868729.111,4758498.141
405,100-300,Sinistra,868729.111,4753698.141
406,100-300,Sinistra,868729.111,4752898.141
407,100-300,Sinistra,868729.111,4752098.141
408,100-300,Destra,868729.111,4751298.141
409,100-300,Destra,868729.111,4750498.141
410,100-300,Sinistra,869529.111,4753698.141
411,100-300,Destra,869529.111,4752898.141
412,100-300,Sinistra,870329.111,4756898.141
413,100-300,Sinistra,870329.111,4755298.141
414,100-300,Sinistra,870329.111,4754498.141
415,100-300,Destra,870329.111,4753698.141
416,100-300,Sinistra,871129.111,4757698.141
417,100-300,Sinistra,871129.111,4756898.141
418,100-300,Sinistra,871129.111,4755298.141
419,100-300,Destra,871129.111,4754498.141
420,100-300,Destra,871129.111,4753698.141
421,100-300,Sinistra,871929.111,4757698.141
422,100-300,Sinistra,871929.111,4756898.141
423,100-300,Sinistra,871929.111,4755298.141
424,100-300,Destra,871929.111,4754498.141
425,100-300,Destra,871929.111,4752898.141
426,100-300,Sinistra,872729.111,4757698.141
427,100-300,Sinistra,872729.111,4756898.141
428,100-300,Sinistra,872729.111,4756098.141
429,100-300,Sinistra,872729.111,4755298.141
430,100-300,Destra,872729.111,4754498.141
431,100-300,Destra,872729.111,4753698.141
432,100-300,Sinistra,873529.111,4759298.141
433,100-300,Sinistra,873529.111,4756898.141
434,100-300,Sinistra,873529.111,4756098.141
435,100-300,Sinistra,873529.111,4755298.141
436,100-300,Destra,873529.111,4754498.141
437,100-300,Destra,873529.111,4753698.141
438,100-300,Sinistra,874329.111,4756898.141
439,100-300,Sinistra,874329.111,4756098.141
440,100-300,Sinistra,874329.111,4755298.141
441,100-300,Destra,874329.111,4754498.141
442,100-300,Sinistra,875129.111,4757698.141
443,100-300,Sinistra,875129.111,4756898.141
444,100-300,Sinistra,875129.111,4756098.141
445,100-300,Destra,875129.111,4755298.141
446,100-300,Destra,875129.111,4754498.141
447,100-300,Destra,875129.111,4753698.141
448,100-300,Sinistra,875929.111,4759298.141
449,100-300,Sinistra,875929.111,4757698.141
450,100-300,Sinistra,875929.111,4756098.141
451,100-300,Sinistra,875929.111,4755298.141
452,100-300,Destra,875929.111,4754498.141
453,100-300,Destra,875929.111,4753698.141
454,100-300,Sinistra,876729.111,4759298.141
455,100-300,Sinistra,876729.111,4758498.141
456,100-300,Sinistra,876729.111,4756898.141
457,100-300,Sinistra,876729.111,4756098.141
458,100-300,Sinistra,876729.111,4755298.141
459,100-300,Sinistra,876729.111,4754498.141
460,100-300,Destra,876729.111,4753698.141
461,100-300,Destra,876729.111,4752898.141
462,100-300,Sinistra,877529.111,4759298.141
463,100-300,Sinistra,877529.111,4758498.141
464,100-300,Sinistra,877529.111,4757698.141
465,100-300,Sinistra,877529.111,4756898.141
