id,year,yrbirth,apr.wt,calf
B100,2005,2004,24,0
B100,2007,2004,47.5,0
B100,2008,2004,45.5,1
B100,2009,2004,44.5,0
B100,2010,2004,47.5,0
B100,2012,2004,50,0
B100,2013,2004,60,1
B100,2015,2004,50.5,0
B101,2006,2004,NA,0
B101,2008,2004,NA,0
B101,2010,2004,NA,0
B101,2011,2004,NA,1
B101,2012,2004,52,0
B101,2014,2004,57.5,1
B102,2005,2004,25,0
B102,2008,2004,NA,0
B102,2009,2004,54.5,1
B103,2005,2004,23,0
B103,2006,2004,NA,0
B103,2007,2004,NA,0
B103,2008,2004,NA,0
B103,2009,2004,48,0
B103,2010,2004,NA,1
B103,2011,2004,NA,0
B103,2013,2004,NA,1
B103,2014,2004,NA,0
B103,2018,2004,NA,1
B104,2005,2004,22,0
B104,2007,2004,40,0
B104,2008,2004,NA,0
B104,2009,2004,41,0
B104,2010,2004,NA,0
B104,2013,2004,NA,1
B104,2015,2004,NA,0
B104,2016,2004,46.5,0
B105,2005,2004,25.2,0
B105,2006,2004,37.4,0
B105,2007,2004,NA,1
B105,2009,2004,NA,0
B105,2010,2004,57.5,0
B105,2012,2004,50.5,0
B105,2013,2004,NA,1
B105,2014,2004,54.5,0
B105,2015,2004,56,1
B105,2017,2004,NA,0
B105,2018,2004,NA,0
B105,2019,2004,NA,0
B106,2005,2004,25,0
B106,2006,2004,32.2,0
B106,2007,2004,46.5,0
B106,2008,2004,NA,0
B106,2009,2004,52.5,1
B106,2011,2004,NA,1
B106,2012,2004,57,1
B106,2013,2004,56,1
B106,2015,2004,46,0
B106,2018,2004,NA,0
B107,2005,2004,21,0
B107,2006,2004,NA,1
B107,2007,2004,NA,1
B110,2005,2004,23.5,0
B112,2005,2004,23,0
B114,2006,2004,35,0
B114,2008,2004,NA,0
B114,2009,2004,51.2,1
B115,2011,2004,NA,1
B115,2013,2004,NA,0
B116,2009,2004,NA,1
B120,2005,2004,26,0
B120,2008,2004,NA,0
B120,2009,2004,53.5,0
B120,2012,2004,54.5,0
B120,2013,2004,63,1
B120,2014,2004,54.5,0
B120,2015,2004,51,0
B122,2012,2004,46.5,0
B123,2005,2004,23.2,0
B123,2006,2004,NA,0
B123,2008,2004,40,0
B123,2009,2004,49.5,0
B123,2012,2004,42,0
B123,2013,2004,52,1
B123,2015,2004,51,1
B124,2005,2004,25.5,0
B124,2006,2004,NA,0
B124,2008,2004,NA,0
B124,2009,2004,NA,1
B124,2010,2004,50.5,0
B124,2013,2004,NA,1
B125,2006,2004,32.2,0
B125,2009,2004,43,0
B125,2010,2004,47.5,1
B125,2012,2004,43.2,0
B126,2011,2009,40.5,0
B126,2012,2009,39.5,0
B126,2013,2009,58.5,0
B126,2016,2009,60,0
B126,2018,2009,NA,1
B128,2013,2009,NA,1
B128,2014,2009,56.5,0
B128,2015,2009,NA,1
B128,2017,2009,52.5,1
B128,2018,2009,56,0
B128,2019,2009,NA,0
B129,2010,2009,24,0
B129,2013,2009,55,1
B129,2015,2009,51,1
B129,2019,2009,NA,1
B130,2012,2009,46.5,0
B130,2013,2009,53,0
B130,2014,2009,53,0
B130,2015,2009,54,0
B130,2017,2009,NA,0
B130,2018,2009,54.2,1
B130,2019,2009,NA,1
B135,2010,2009,22.5,0
B135,2011,2009,36.5,0
B135,2013,2009,53.5,1
B135,2014,2009,50.5,1
B135,2015,2009,NA,1
B135,2016,2009,49.5,0
B135,2018,2009,53.5,1
B137,2010,2009,23,0
B137,2012,2009,49.2,1
B137,2013,2009,NA,0
B137,2015,2009,50.5,1
B137,2016,2009,63,1
B137,2017,2009,56,0
B139,2010,2009,27.5,0
B139,2011,2009,37.5,0
B139,2012,2009,50,1
B139,2013,2009,NA,0
B139,2014,2009,NA,1
B139,2016,2009,61,1
B139,2017,2009,NA,1
B139,2018,2009,NA,1
B139,2019,2009,NA,1
B14,1996,1995,24,0
B140,2010,2009,25.5,0
B140,2011,2009,41.5,0
B140,2012,2009,41,0
B140,2013,2009,58.5,1
B140,2014,2009,NA,1
B140,2015,2009,50,0
B140,2018,2009,53.5,0
B147,2011,2009,NA,0
B147,2014,2009,NA,1
B147,2015,2009,56,1
B147,2016,2009,NA,1
B147,2017,2009,65,1
B147,2019,2009,NA,0
B148,2011,2009,NA,0
B149,2011,2009,38.5,0
B149,2012,2009,38.5,1
