"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight"
"1",1,7,16,1977,2,"NL","M",32,NA
"2",2,7,16,1977,3,"NL","M",33,NA
"3",3,7,16,1977,2,"DM","F",37,NA
"4",4,7,16,1977,7,"DM","M",36,NA
"5",5,7,16,1977,3,"DM","M",35,NA
"6",6,7,16,1977,1,"PF","M",14,NA
"7",7,7,16,1977,2,"PE","F",NA,NA
"8",8,7,16,1977,1,"DM","M",37,NA
"9",9,7,16,1977,1,"DM","F",34,NA
"10",10,7,16,1977,6,"PF","F",20,NA
"11",11,7,16,1977,5,"DS","F",53,NA
"12",12,7,16,1977,7,"DM","M",38,NA
"13",13,7,16,1977,3,"DM","M",35,NA
"14",14,7,16,1977,8,"DM","",NA,NA
"15",15,7,16,1977,6,"DM","F",36,NA
"16",16,7,16,1977,4,"DM","F",36,NA
"17",17,7,16,1977,3,"DS","F",48,NA
"18",18,7,16,1977,2,"PP","M",22,NA
"19",19,7,16,1977,4,"PF","",NA,NA
"20",20,7,17,1977,11,"DS","F",48,NA
"21",21,7,17,1977,14,"DM","F",34,NA
"22",22,7,17,1977,15,"NL","F",31,NA
"23",23,7,17,1977,13,"DM","M",36,NA
"24",24,7,17,1977,13,"SH","M",21,NA
"25",25,7,17,1977,9,"DM","M",35,NA
"26",26,7,17,1977,15,"DM","M",31,NA
"27",27,7,17,1977,15,"DM","M",36,NA
"28",28,7,17,1977,11,"DM","M",38,NA
"29",29,7,17,1977,11,"PP","M",NA,NA
"30",30,7,17,1977,10,"DS","F",52,NA
"31",31,7,17,1977,15,"DM","F",37,NA
"32",32,7,17,1977,10,"DM","F",35,NA
"33",33,7,17,1977,11,"DM","F",36,NA
"34",34,7,17,1977,17,"DM","",NA,NA
"35",35,7,17,1977,13,"DM","F",38,NA
"36",36,7,17,1977,16,"OT","F",22,NA
"37",37,7,17,1977,11,"DM","F",35,NA
"38",38,7,17,1977,17,"NL","M",33,NA
"39",39,7,17,1977,11,"DM","F",36,NA
"40",40,7,18,1977,20,"DM","M",36,NA
"41",41,7,18,1977,23,"DM","F",34,NA
"42",42,7,18,1977,18,"DS","F",46,NA
"43",43,7,18,1977,21,"DM","M",36,NA
"44",44,7,18,1977,18,"DM","F",35,NA
"45",45,7,18,1977,22,"DM","M",36,NA
"46",46,7,18,1977,19,"DM","M",35,NA
"47",47,7,18,1977,18,"DM","M",32,NA
"48",48,7,18,1977,20,"DM","F",36,NA
"49",49,7,18,1977,12,"PP","F",17,NA
"50",50,7,18,1977,18,"DM","F",32,NA
"51",51,7,18,1977,21,"DM","F",36,NA
"52",52,7,18,1977,12,"DM","F",26,NA
"53",53,7,18,1977,22,"DM","M",36,NA
"54",54,7,18,1977,18,"DM","M",37,NA
"55",55,7,18,1977,23,"DM","M",36,NA
"56",56,7,18,1977,20,"DM","M",34,NA
"57",57,7,18,1977,22,"DM","",NA,NA
"58",58,7,18,1977,12,"DS","M",45,NA
"59",59,7,18,1977,19,"DM","M",33,NA
"60",60,7,18,1977,19,"PE","M",20,NA
"61",61,7,18,1977,23,"DM","M",35,NA
"62",62,7,18,1977,19,"DM","M",35,NA
"63",63,8,19,1977,3,"DM","M",35,40
"64",64,8,19,1977,7,"DM","M",37,48
"65",65,8,19,1977,4,"DM","F",34,29
"66",66,8,19,1977,4,"DM","F",35,46
"67",67,8,19,1977,7,"DM","M",35,36
"68",68,8,19,1977,8,"DO","F",32,52
"69",69,8,19,1977,2,"PF","M",15,8
"70",70,8,19,1977,3,"OX","F",21,22
"71",71,8,19,1977,7,"DM","F",36,35
"72",72,8,19,1977,2,"NL","M",31,NA
"73",73,8,19,1977,3,"DS","F",44,NA
"74",74,8,19,1977,8,"PF","M",12,7
"75",75,8,19,1977,8,"DM","F",32,22
"76",76,8,19,1977,9,"DS","F",47,NA
"77",77,8,19,1977,4,"SS","",NA,NA
"78",78,8,19,1977,1,"PF","M",16,9
"79",79,8,19,1977,7,"DM","F",34,42
"80",80,8,19,1977,1,"DS","M",48,NA
"81",81,8,19,1977,4,"PF","F",14,8
"82",82,8,19,1977,4,"DM","F",35,41
"83",83,8,20,1977,6,"DM","F",37,37
"84",84,8,20,1977,19,"DM","F",35,43
"85",85,8,20,1977,23,"DM","F",35,41
"86",86,8,20,1977,18,"DM","F",33,40
"87",87,8,20,1977,5,"PF","F",11,9
"88",88,8,20,1977,18,"DM","F",35,45
"89",89,8,20,1977,12,"PP","F",20,15
"90",90,8,20,1977,18,"DM","M",35,29
"91",91,8,20,1977,11,"DS","F",50,NA
"92",92,8,20,1977,6,"DM","M",35,39
"93",93,8,20,1977,18,"DM","",NA,42
"94",94,8,20,1977,18,"DM","F",36,43
"95",95,8,20,1977,23,"DM","M",38,46
"96",96,8,20,1977,12,"DM","M",36,41
"97",97,8,20,1977,18,"DM","M",36,41
"98",98,8,20,1977,5,"DM","M",38,40
"99",99,8,20,1977,11,"DM","M",37,45
"100",100,8,20,1977,5,"DS","F",54,NA
"101",101,8,20,1977,5,"DM","F",35,46
"102",102,8,20,1977,23,"DM","F",35,40
"103",103,8,20,1977,18,"DM","F",35,30
"104",104,8,20,1977,11,"DS","M",43,NA
"105",105,8,20,1977,19,"DM","M",35,39
"106",106,8,20,1977,12,"NL","",NA,NA
"107",107,8,20,1977,18,"NL","",NA,NA
"108",108,8,20,1977,11,"PP","M",21,NA
"109",109,8,20,1977,6,"DM","M",35,34
"110",110,8,20,1977,10,"DS","",NA,NA
"111",111,8,20,1977,11,"DM","F",37,42
"112",112,8,20,1977,23,"DM","M",37,42
"113",113,8,20,1977,5,"PF","F",13,8
"114",114,8,21,1977,15,"DM","F",32,NA
"115",115,8,21,1977,21,"DM","M",34,NA
"116",116,8,21,1977,13,"DM","F",37,31
"117",117,8,21,1977,21,"OX","F",19,NA
"118",118,8,21,1977,17,"DM","M",33,NA
"119",119,8,21,1977,20,"DM","M",35,NA
"120",120,8,21,1977,20,"DM","M",35,NA
"121",121,8,21,1977,15,"NL","",NA,NA
"122",122,8,21,1977,22,"DM","F",33,NA
"123",123,8,21,1977,17,"DM","M",37,NA
"124",124,8,21,1977,14,"DM","M",36,NA
"125",125,8,21,1977,22,"DM","M",35,NA
"126",126,8,21,1977,20,"DM","F",30,NA
"127",127,8,21,1977,14,"DM","M",33,NA
"128",128,8,21,1977,15,"DM","M",34,NA
"129",129,8,21,1977,14,"DM","F",34,NA
"130",130,8,21,1977,16,"DM","F",34,NA
"131",131,8,21,1977,22,"DM","M",37,NA
"132",132,8,21,1977,22,"DM","F",33,NA
"133",133,8,21,1977,15,"DM","M",37,NA
"134",134,8,21,1977,17,"DS","F",45,NA
"135",135,8,21,1977,15,"DM","F",35,NA
"136",136,8,21,1977,13,"PF","F",16,NA
"137",137,8,21,1977,20,"DM","F",35,NA
"138",138,8,21,1977,22,"DM","M",37,NA
"139",139,8,21,1977,14,"PF","M",15,NA
"140",140,8,21,1977,20,"DM","M",33,NA
"141",141,8,21,1977,16,"DM","M",36,NA
"142",142,8,21,1977,17,"DM","F",34,NA
"143",143,8,21,1977,15,"DM","M",35,NA
"144",144,8,21,1977,15,"DS","M",40,NA
"145",145,8,21,1977,13,"DM","F",37,NA
"146",146,8,21,1977,13,"DM","F",36,40
"147",147,8,21,1977,13,"DM","M",37,NA
"148",148,8,21,1977,14,"DM","M",37,NA
"149",149,8,21,1977,20,"DS","M",50,NA
"150",150,8,21,1977,21,"DM","M",35,NA
"151",151,8,21,1977,13,"DM","M",35,NA
"152",152,8,21,1977,14,"DM","M",38,NA
"153",153,8,21,1977,16,"DS","F",50,NA
"154",154,8,21,1977,20,"DS","F",47,NA
"155",155,8,21,1977,20,"DS","",NA,NA
"156",156,8,21,1977,21,"DM","M",35,NA
"157",157,9,11,1977,20,"DM","M",36,37
"158",158,9,11,1977,22,"DM","M",36,48
"159",159,9,11,1977,5,"DS","M",53,NA
"160",160,9,11,1977,21,"DM","M",37,NA
"161",161,9,11,1977,5,"DM","M",37,42
"162",162,9,11,1977,6,"DM","F",39,45
"163",163,9,11,1977,12,"PP","F",21,16
"164",164,9,11,1977,22,"DM","F",36,36
"165",165,9,11,1977,19,"DS","F",50,NA
"166",166,9,11,1977,21,"OX","M",13,NA
"167",167,9,11,1977,6,"DM","M",36,42
"168",168,9,11,1977,12,"DM","M",36,44
"169",169,9,11,1977,5,"DM","M",37,NA
"170",170,9,11,1977,20,"DM","F",36,41
"171",171,9,11,1977,12,"NL","",NA,NA
"172",172,9,11,1977,22,"PF","F",NA,8
"173",173,9,11,1977,12,"DM","F",36,40
"174",174,9,11,1977,12,"DM","M",37,34
"175",175,9,11,1977,19,"DM","M",33,40
"176",176,9,11,1977,12,"DS","M",45,NA
"177",177,9,11,1977,5,"OX","F",NA,20
"178",178,9,11,1977,18,"DM","M",33,44
"179",179,9,11,1977,12,"DM","M",37,44
"180",180,9,11,1977,6,"DM","M",34,36
"181",181,9,11,1977,20,"DM","M",35,33
"182",182,9,11,1977,21,"DS","M",49,NA
"183",183,9,11,1977,5,"DM","F",37,46
"184",184,9,11,1977,20,"DS","M",52,NA
"185",185,9,11,1977,12,"OX","F",19,NA
"186",186,9,11,1977,19,"DM","F",34,35
"187",187,9,12,1977,17,"DM","M",36,46
"188",188,9,12,1977,14,"DS","F",48,NA
"189",189,9,12,1977,17,"DM","F",33,37
"190",190,9,12,1977,7,"DM","M",36,34
"191",191,9,12,1977,17,"DS","M",47,NA
"192",192,9,12,1977,4,"DM","F",36,45
"193",193,9,12,1977,7,"PE","",NA,NA
"194",194,9,12,1977,11,"NL","",NA,NA
